,\textit{Water},\textit{Trees},\textit{Grass},\textit{Flood.},\textit{Crops},\textit{Shrub},\textit{Built},\textit{Bare},\textit{Snow}
alphaearth,0.9069578409194946,0.7061043381690979,0.6416579604148864,0.34229384511709215,0.665045753121376,0.5493708714842797,0.8090654164552689,0.9159095525741577,0.859530583024025
tessera,0.8554195940494538,0.6646203577518464,0.6891659766435623,0.36634373366832734,0.6795908689498902,0.5586406856775283,0.730757862329483,0.9180247187614441,0.8791597634553909
geoclip,0.03494189642369747,0.13665120899677277,0.24606830179691314,0.06528438962996005,0.2425040103495121,0.16946553997695446,0.18860650844871998,0.7627736240625381,0.8312429577112198
satclip,0.07555520907044411,0.17831471487879752,0.3053890772163868,0.1287706285715103,0.30598592683672904,0.22368869073688985,0.1911412939429283,0.7504743158817291,0.8012362241744995
alphaearth + tessera,0.9228978961706161,0.7493438690900802,0.7440338581800461,0.43345425128936765,0.7494113922119141,0.6306622058153153,0.8410968989133835,0.9349260747432708,0.890253096818924
alphaearth + geoclip,0.9061890214681625,0.7003327041864396,0.6492161840200424,0.3351741433143616,0.6762260258197784,0.5499878719449043,0.8088879019021988,0.9176108121871949,0.8730573058128357
alphaearth + satclip,0.9109487533569336,0.7151955246925354,0.6659880846738815,0.3604794591665268,0.691955178976059,0.5777546733617782,0.8147357523441314,0.9222911477088929,0.8772363245487214
tessera + geoclip,0.8510984420776367,0.6581832349300385,0.6927301019430161,0.34911353290081026,0.6849596083164216,0.5588696986436844,0.7229949861764908,0.9184804648160935,0.88728246986866
tessera + satclip,0.8566611111164093,0.6710408180952072,0.7081036061048508,0.37729585617780687,0.699698805809021,0.5806073188781739,0.7294718325138092,0.9215503454208374,0.8901588648557663
geoclip + satclip,0.05632913112640381,0.16088957861065864,0.3109860152006149,0.09612559974193573,0.2998337626457214,0.21500263847410678,0.19306530728936194,0.8230385899543762,0.8488523542881012
All GFMs,0.9194707691669464,0.7378168821334838,0.7435435801744461,0.40384506732225417,0.7513964086771011,0.6261087387800217,0.8340162307024002,0.9350188612937927,0.8989555388689041
