,Crops,Biomass,Land cover,Bioclimatic,Pop.,Dist. road
alphaearth,0.600114835505897,0.6711586270663409,0.7114646255970001,0.8346996577367041,0.2668539943521056,0.49025644269610813
tessera,0.5650713842333953,0.5227068410021228,0.7056087166070938,0.7738485965661808,0.17978305940112488,0.5120755489788711
geoclip,0.6159466170080695,0.3079630345542199,0.29974487125873567,0.8040370393963909,-0.0373645229152688,0.509512029032587
satclip,0.458544382371198,0.34530125768600395,0.33127235919237136,0.7493380661666695,0.03182888490982892,0.49153300040981723
alphaearth + tessera,0.5750775915580385,0.6707307941156472,0.766941836476326,0.855281176268447,0.25990505401370695,0.540330002604338
alphaearth + geoclip,0.6340192427063935,0.6350317350252844,0.7140892833471298,0.8668102959269163,0.15801465391484243,0.5501156484475151
alphaearth + satclip,0.6059512725015519,0.6669094987655614,0.7273240327835083,0.868585910676714,0.2376076190103257,0.552114625913289
tessera + geoclip,0.623195220360025,0.5080254318369266,0.7040024638175965,0.8438098688977129,0.08493825135350519,0.5632982920466958
tessera + satclip,0.5748013656114214,0.54703447001509,0.7161764025688171,0.832212642221888,0.14304613283315798,0.5603648352036061
geoclip + satclip,0.6173386095592799,0.3248860926303003,0.3365527123212814,0.8494115550726121,-0.08025541279122052,0.5561087965712652
All GFMs,0.6254189944134079,0.6053401591378766,0.762273183465004,0.8919494009857873,0.1076338096502057,0.5899058960583639
